client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
9dfd71d5eda222ddfd78c3df96a1959ab77fe560c9a44628ae2ae2f64ab76d18c79bc49a75c31b8deef00a092d3b2030390146b1ddf4420e804d9dea7d6f5bff	common_voice_zh-TW_19227129.mp3	村長給你開示了沒	2	0	twenties	female		zh-TW	
9dfd71d5eda222ddfd78c3df96a1959ab77fe560c9a44628ae2ae2f64ab76d18c79bc49a75c31b8deef00a092d3b2030390146b1ddf4420e804d9dea7d6f5bff	common_voice_zh-TW_19227143.mp3	都會區域可能塞車	2	0	twenties	female		zh-TW	
9dfd71d5eda222ddfd78c3df96a1959ab77fe560c9a44628ae2ae2f64ab76d18c79bc49a75c31b8deef00a092d3b2030390146b1ddf4420e804d9dea7d6f5bff	common_voice_zh-TW_19227141.mp3	會讓人置身事外	2	0	twenties	female		zh-TW	
9dfd71d5eda222ddfd78c3df96a1959ab77fe560c9a44628ae2ae2f64ab76d18c79bc49a75c31b8deef00a092d3b2030390146b1ddf4420e804d9dea7d6f5bff	common_voice_zh-TW_19227248.mp3	若能參加相對論之旅	2	0	twenties	female		zh-TW	
9dfd71d5eda222ddfd78c3df96a1959ab77fe560c9a44628ae2ae2f64ab76d18c79bc49a75c31b8deef00a092d3b2030390146b1ddf4420e804d9dea7d6f5bff	common_voice_zh-TW_19227258.mp3	依現行人民團體法規定	2	0	twenties	female		zh-TW	
9dfd71d5eda222ddfd78c3df96a1959ab77fe560c9a44628ae2ae2f64ab76d18c79bc49a75c31b8deef00a092d3b2030390146b1ddf4420e804d9dea7d6f5bff	common_voice_zh-TW_19227273.mp3	也親了我	2	0	twenties	female		zh-TW	
9dfd71d5eda222ddfd78c3df96a1959ab77fe560c9a44628ae2ae2f64ab76d18c79bc49a75c31b8deef00a092d3b2030390146b1ddf4420e804d9dea7d6f5bff	common_voice_zh-TW_19227278.mp3	再請各位表達意見	2	0	twenties	female		zh-TW	
9dfd71d5eda222ddfd78c3df96a1959ab77fe560c9a44628ae2ae2f64ab76d18c79bc49a75c31b8deef00a092d3b2030390146b1ddf4420e804d9dea7d6f5bff	common_voice_zh-TW_19228069.mp3	來籌畫各方面的作業	2	0	twenties	female		zh-TW	
9dfd71d5eda222ddfd78c3df96a1959ab77fe560c9a44628ae2ae2f64ab76d18c79bc49a75c31b8deef00a092d3b2030390146b1ddf4420e804d9dea7d6f5bff	common_voice_zh-TW_19228068.mp3	創造了一個很好的成績	2	0	twenties	female		zh-TW	
9dfd71d5eda222ddfd78c3df96a1959ab77fe560c9a44628ae2ae2f64ab76d18c79bc49a75c31b8deef00a092d3b2030390146b1ddf4420e804d9dea7d6f5bff	common_voice_zh-TW_19228073.mp3	原契約所定價格	2	0	twenties	female		zh-TW	
9dfd71d5eda222ddfd78c3df96a1959ab77fe560c9a44628ae2ae2f64ab76d18c79bc49a75c31b8deef00a092d3b2030390146b1ddf4420e804d9dea7d6f5bff	common_voice_zh-TW_19228195.mp3	議題如何提出？	2	0	twenties	female		zh-TW	
9dfd71d5eda222ddfd78c3df96a1959ab77fe560c9a44628ae2ae2f64ab76d18c79bc49a75c31b8deef00a092d3b2030390146b1ddf4420e804d9dea7d6f5bff	common_voice_zh-TW_19228192.mp3	有牴觸憲法之疑慮	2	0	twenties	female		zh-TW	
